"name","ipv4address","enabled","distinguishedname","description","LastLogonDate","OperatingSystem"
"UTO4143347","None Found","True","CN=UTO4143347,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","11YQ2H2 \ Dell Inc. Latitude 7480","9/20/2021 11:44:58 AM","Windows 10 Enterprise"
"UTO4092794","None Found","True","CN=UTO4092794,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","Email SW","1/2/2019 11:44:04 AM","Windows 10 Enterprise"
"UTODSP4093913","None Found","True","CN=UTODSP4093913,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"9/24/2021 11:33:11 AM","Windows 10 Enterprise"
"UTOdsp4108618V1","None Found","True","CN=UTOdsp4108618V1,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","Dominic Smith \ Virtual Machine","9/17/2021 8:07:14 PM","Windows 10 Enterprise"
"UTODSP4093954","None Found","True","CN=UTODSP4093954,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","Poly Classrooms Support ASU Sync Computer","8/16/2021 9:06:44 AM","Windows 10 Enterprise"
"UTODSP4093952","None Found","True","CN=UTODSP4093952,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","Poly Classrooms Support ASU Sync Computer","8/15/2021 5:40:24 PM","Windows 10 Enterprise"
"UTODSP4092794","None Found","True","CN=UTODSP4092794,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"1/15/2020 10:23:05 AM","Windows 10 Enterprise"
"UTODSP4084946","None Found","True","CN=UTODSP4084946,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","Michael Detwiler \ Dell Inc.  OptiPlex 9010 \ 7G08PW1","9/17/2021 10:44:36 AM","Windows 10 Enterprise"
"UTO4155156","None Found","True","CN=UTO4155156,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"9/21/2021 10:50:21 AM","Windows 10 Enterprise"
"UTODSP4092895","None Found","True","CN=UTODSP4092895,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","7L1STR1 \ 4092895 - Dell Inc. OptiPlex 990","1/30/2020 10:26:59 AM","Windows 10 Enterprise"
"UTO4074198","None Found","True","CN=UTO4074198,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","3KV3XQ1 \ Dell Inc. OptiPlex 790","2/26/2020 2:29:37 PM","Windows 10 Enterprise"
"UTODSP4102569","None Found","True","CN=UTODSP4102569,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"2/7/2019 2:28:33 PM","Windows 10 Enterprise"
"UTODSP4092798","None Found","True","CN=UTODSP4092798,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","7L1HTR1 \ 4092798 - Dell Inc. OptiPlex 990","7/9/2021 3:57:45 PM","Windows 10 Enterprise"
"UTO4092785","None Found","True","CN=UTO4092785,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","Email SW","1/2/2019 12:10:42 PM","Windows 10 Enterprise"
"UTODSP4092894","None Found","True","CN=UTODSP4092894,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","7L2GTR1 \ 4092894 - Dell Inc. OptiPlex 990","12/27/2019 6:01:39 AM","Windows 10 Enterprise"
"UTODSP4155145","None Found","True","CN=UTODSP4155145,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"9/24/2021 11:54:09 AM","Windows 10 Enterprise"
