"name","ipv4address","enabled","distinguishedname","LastLogonDate","OperatingSystem"
"CLSCLS4080639","None Found","True","CN=CLSCLS4080639,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","8/16/2019 5:05:11 PM","Windows 10 Enterprise"
"CLSSM-UNIVERS-R","None Found","True","CN=CLSSM-UNIVERS-R,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","12/17/2019 6:20:41 AM","Windows 10 Enterprise"
"CLScls4108759","None Found","True","CN=CLScls4108759,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","8/12/2020 6:03:09 PM","Windows 10 Enterprise"
"CLSSM-4060868","None Found","True","CN=CLSSM-4060868,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","8/12/2021 12:17:26 PM","Windows 10 Enterprise"
"CLSsm-4108756","None Found","True","CN=CLSsm-4108756,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","10/14/2021 10:14:11 AM","Windows 10 Enterprise"
"CLSCLS4155160","None Found","True","CN=CLSCLS4155160,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","5/20/2021 10:30:30 AM","Windows 10 Enterprise"
"CLSSM-4145123","None Found","True","CN=CLSSM-4145123,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","10/7/2021 8:36:17 PM","Windows 10 Enterprise"
"CLSSM-4108796","None Found","True","CN=CLSSM-4108796,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","4/3/2021 4:16:16 AM","Windows 10 Enterprise"
"CLSSM-4055394","None Found","True","CN=CLSSM-4055394,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","10/13/2021 9:54:45 AM","Windows 10 Enterprise"
"CLSSM-4108803","None Found","True","CN=CLSSM-4108803,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","7/7/2019 5:17:47 AM","Windows 10 Enterprise"
"CLSSM-4090672","None Found","True","CN=CLSSM-4090672,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","10/12/2021 7:29:57 PM","Windows 10 Enterprise"
"CLSSM-4060816","None Found","True","CN=CLSSM-4060816,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","5/18/2020 12:18:36 PM","Windows 10 Enterprise"
"CLSSM-4108740","None Found","True","CN=CLSSM-4108740,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","9/4/2021 2:32:23 PM","Windows 10 Enterprise"
"CLSSM-4090666","None Found","True","CN=CLSSM-4090666,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","10/14/2021 1:35:49 PM","Windows 10 Enterprise"
"CLScls4102563","None Found","True","CN=CLScls4102563,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","10/5/2021 10:02:26 AM","Windows 10 Enterprise"
"CLScls4084963","None Found","True","CN=CLScls4084963,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","12/17/2019 1:00:12 PM","Windows 10 Enterprise"
"CLShum4080664","None Found","True","CN=CLShum4080664,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","10/12/2021 11:36:17 PM","Windows 10 Enterprise"
"CLSCLS4108723","None Found","True","CN=CLSCLS4108723,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","8/15/2020 3:18:22 PM","Windows 10 Enterprise"
"CLSSM-4055399","None Found","True","CN=CLSSM-4055399,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","5/1/2021 4:12:22 AM","Windows 10 Enterprise"
"CLSSM-4108609","None Found","True","CN=CLSSM-4108609,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","6/5/2021 2:29:29 PM","Windows 10 Enterprise"
"CLSSM-4145107","None Found","True","CN=CLSSM-4145107,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","9/14/2021 9:25:12 AM","Windows 10 Enterprise"
"CLSCLS4090726","None Found","True","CN=CLSCLS4090726,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","10/14/2021 10:44:49 AM","Windows 10 Enterprise"
"CLSSM-4096199","None Found","True","CN=CLSSM-4096199,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","8/6/2019 12:00:46 PM","Windows 10 Enterprise"
"CLSCLS4122876","None Found","True","CN=CLSCLS4122876,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","10/13/2021 7:27:11 AM","Windows 10 Enterprise"
